date,state,fips,cases,deaths
2020-07-03,Alabama,01,41865,1006
2020-07-03,Alaska,02,1284,13
2020-07-03,Arizona,04,91894,1801
2020-07-03,Arkansas,05,22622,281
2020-07-03,California,06,253655,6315
2020-07-03,Colorado,08,33607,1701
2020-07-03,Connecticut,09,46717,4335
2020-07-03,Delaware,10,11923,512
2020-07-03,District of Columbia,11,10435,555
2020-07-03,Florida,12,178586,3683
2020-07-03,Georgia,13,85079,2808
2020-07-03,Guam,66,1255,6
2020-07-03,Hawaii,15,957,19
2020-07-03,Idaho,16,7034,94
2020-07-03,Illinois,17,147293,7222
2020-07-03,Indiana,18,48099,2682
2020-07-03,Iowa,19,30631,721
2020-07-03,Kansas,20,16015,283
2020-07-03,Kentucky,21,16655,608
2020-07-03,Louisiana,22,63397,3278
2020-07-03,Maine,23,3373,105
2020-07-03,Maryland,24,69422,3223
2020-07-03,Massachusetts,25,109628,8149
2020-07-03,Michigan,26,72306,6219
2020-07-03,Minnesota,27,37661,1503
2020-07-03,Mississippi,28,29684,1103
2020-07-03,Missouri,29,23620,1060
2020-07-03,Montana,30,1128,23
2020-07-03,Nebraska,31,19660,285
2020-07-03,Nevada,32,20878,530
2020-07-03,New Hampshire,33,5857,376
2020-07-03,New Jersey,34,174598,15164
2020-07-03,New Mexico,35,12776,511
2020-07-03,New York,36,400561,31836
2020-07-03,North Carolina,37,70447,1413
2020-07-03,North Dakota,38,3731,89
2020-07-03,Northern Mariana Islands,69,31,2
2020-07-03,Ohio,39,55257,2903
2020-07-03,Oklahoma,40,15065,398
2020-07-03,Oregon,41,9643,213
2020-07-03,Pennsylvania,42,93418,6790
2020-07-03,Puerto Rico,72,7683,154
2020-07-03,Rhode Island,44,16991,960
2020-07-03,South Carolina,45,41532,793
2020-07-03,South Dakota,46,6978,97
2020-07-03,Tennessee,47,47882,626
2020-07-03,Texas,48,188834,2601
2020-07-03,Utah,49,24070,181
2020-07-03,Vermont,50,1236,56
2020-07-03,Virgin Islands,78,111,6
2020-07-03,Virginia,51,64393,1845
2020-07-03,Washington,53,36417,1353
2020-07-03,West Virginia,54,3126,93
2020-07-03,Wisconsin,55,33565,804
2020-07-03,Wyoming,56,1582,20
